Moustafa Abdelal,Gymnastics Men's Rings
Moustafa Abdelal,Gymnastics Men's Pommelled Horse
Mahmod Abdelaly,"Shooting Men's Air Pistol, 10 metres"
Ibrahim Ramadan Ibrahim Abdelbaki,Weightlifting Men's Middleweight
Aziza Abdelfattah,Synchronized Swimming Women's Team
Abdalla Abdelgadir El-Sheikh,"Athletics Men's 1,500 metres"
Magdi Abdelghani Sayed Ahmed,Football Men's Football
Ragab Abdelhay Saad Abdelrazek Abdallah,Weightlifting Men's Light-Heavyweight
Ragab Abdelhay Saad Abdelrazek Abdallah,Weightlifting Men's Middle-Heavyweight
Ben Ahmed Abdelkrim,"Athletics Men's 5,000 metres"
Mohamed Abdellah,"Shooting Men's Air Rifle, 10 metres"
Ayoub Abdellaoui,Football Men's Football
Leila Abdelmoez,Synchronized Swimming Women's Team
Sayed Abdelmonem Sayed Hamed,"Wrestling Men's Lightweight, Greco-Roman"
Ahmed Abdelrahman,Judo Men's Extra-Lightweight
Ihab Abdelrahman El-Sayed Abdelrahman,Athletics Men's Javelin Throw
Raouf Abdelraouf,Gymnastics Men's Individual All-Around
Raouf Abdelraouf,Gymnastics Men's Horse Vault
Raouf Abdelraouf,Gymnastics Men's Parallel Bars
Raouf Abdelraouf,Gymnastics Men's Rings
Raouf Abdelraouf,Gymnastics Men's Pommelled Horse
Abouelfetoh Abdelrazek,Handball Men's Handball
Mamdouh Abdelrehim,Volleyball Men's Volleyball
El-Hachemi Abdenouz,"Athletics Men's 5,000 metres"
Rda Abdenouz,Athletics Men's 800 metres
Mouni Abderrahim,Volleyball Women's Volleyball
Saeid Morad Abdevali,"Wrestling Men's Welterweight, Greco-Roman"
Saeid Morad Abdevali,"Wrestling Men's Middleweight, Greco-Roman"
Bashir Abdi,"Athletics Men's 5,000 metres"
Bashir Abdi,"Athletics Men's 10,000 metres"
Youcef Abdi,"Athletics Men's 3,000 metres Steeplechase"
Jamal Abdi Hassan Abdullah,"Athletics Men's 3,000 metres Steeplechase"
Talal Omar Abdillahi,"Athletics Men's 10,000 metres"
Talal Omar Abdillahi,Athletics Men's Marathon
Mahmoud Ahmed Abdin,"Fencing Men's Foil, Individual"
Mahmoud Ahmed Abdin,"Fencing Men's Foil, Team"
Mahmoud Ahmed Abdin,"Fencing Men's epee, Individual"
Mahmoud Ahmed Abdin,"Fencing Men's epee, Team"
"Abdihakim ""Abdi"" Abdirahman","Athletics Men's 10,000 metres"
"Abdihakim ""Abdi"" Abdirahman",Athletics Men's Marathon
Ali Abdo,"Wrestling Men's Welterweight, Greco-Roman"
Ali Abdo,"Wrestling Men's Middleweight, Freestyle"
Hamza Abdo,Swimming Men's 50 metres Freestyle
Reema Abdo,Swimming Women's 100 metres Backstroke
Reema Abdo,Swimming Women's 200 metres Backstroke
Reema Abdo,Swimming Women's 4 x 100 metres Medley Relay
Ahmed Abdo Mustafa,Football Men's Football
Nasrollah Abdollahi,Football Men's Football
Yhyacinthe Mewoli Abdon,Boxing Men's Lightweight
Hassane Abdou,Athletics Men's 400 metres
Justin Abdou,"Wrestling Men's Light-Heavyweight, Freestyle"
Moustafa Ahmed Ismail Abdou Ali Arfah,Football Men's Football
Raouf Abdou,Modern Pentathlon Men's Individual
Mohamed Abdou El-Souad,Modern Pentathlon Men's Individual
Mohamed Abdou El-Souad,Modern Pentathlon Men's Team
Brahim Daoud Abdoulaye,Athletics Men's 200 metres
Fawziya Abdoulkarim,Volleyball Women's Volleyball
Alaa El-Din Abdoun,Basketball Men's Basketball
Ibrahim Abdrabbou,Boxing Men's Bantamweight
Berik Abdrakhmanov,Boxing Men's Lightweight
Maizurah Abdul Rahim,Athletics Women's 200 metres
Mehdi Fahim Abdul Al-Sada,Athletics Men's 4 x 400 metres Relay
Bashir Abdullah Abdul Aziz,Football Men's Football
Chairil Anwar Abdul Aziz,Hockey Men's Hockey
Shaimaa Abdul Aziz,Table Tennis Women's Singles
Shaimaa Abdul Aziz,Table Tennis Women's Doubles
Mohamed Abdul Hadj,Hockey Men's Hockey
Jefri Kiko Bolkiah Abdul Hakeem,Shooting Men's Skeet
Mohamed Abdul Hamid,Swimming Men's 50 metres Freestyle
S. Abdul Hamid,Athletics Men's 110 metres Hurdles
S. Abdul Hamid,Athletics Men's 400 metres Hurdles
Hadi Abdul Jabbar,Weightlifting Men's Heavyweight
Mohamed Abed Abdul Jawad,Football Men's Football
Anouar Abdul Kader,Football Men's Football
