Wrestling,"Wrestling Men's Light-Flyweight, Freestyle"
Wrestling,"Wrestling Women's Featherweight, Freestyle"
Swimming,Swimming Women's 200 metres Freestyle
Swimming,Swimming Women's 400 metres Freestyle
Swimming,Swimming Women's 200 metres Individual Medley
Sailing,Sailing Men's Windsurfer
Freestyle Skiing,Freestyle Skiing Men's Slopestyle
Shooting,"Shooting Men's Running Target, Single Shot"
Shooting,"Shooting Men's Running Target, Double Shot"
Rugby Sevens,Rugby Sevens Men's Rugby Sevens
Wrestling,"Wrestling Women's Lightweight, Freestyle"
Modern Pentathlon,Modern Pentathlon Women's Individual
Canoeing,"Canoeing Men's Canadian Doubles, Slalom"
Judo,Judo Women's Half-Lightweight
Diving,Diving Women's Plain High
Equestrianism,"Equestrianism Men's Dressage, Individual"
Equestrianism,"Equestrianism Men's Dressage, Team"
Tennis,"Tennis Women's Singles, Covered Courts"
Diving,Diving Men's Plain High
Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
Swimming,Swimming Women's 800 metres Freestyle
Sailing,Sailing Women's Two Person Dinghy
Alpine Skiing,Alpine Skiing Women's Downhill
Shooting,"Shooting Men's Free Pistol, 50 metres, Team"
Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team"
Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team"
Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team"
Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team"
Shooting,"Shooting Men's Free Rifle, Prone, 600 metres"
Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team"
Rowing,Rowing Men's Single Sculls
Cycling,"Cycling Men's Tandem Sprint, 2,000 metres"
Freestyle Skiing,Freestyle Skiing Women's Halfpipe
Athletics,Athletics Women's Heptathlon
Cycling,Cycling Men's Points Race
Synchronized Swimming,Synchronized Swimming Women's Solo
Equestrianism,"Equestrianism Mixed Dressage, Individual"
